overall,reviewText,summary,documents
2.0,"smaller versions, not full size as shown in pics",Two Stars,"['small', 'version', 'full', 'size', 'show', 'pic']"
5.0,great eye liner.  good seller,Five Stars,"['great', 'eye', 'liner', 'good', 'seller']"
4.0,"purchased for vending resale at bellydance weekend workshop. Nice quality, love the compact packaging, ingredient details are a bit sketchy but i haven't gone blind yet","Nice quality, love the compact packaging","['purchase', 'vending', 'resale', 'bellydance', 'weekend', 'workshop', 'nice', 'quality', 'love', 'compact', 'packaging', 'ingredient', 'detail', 'bit', 'sketchy', 'nt', 'go', 'blind', 'yet']"
5.0,I love it and it arrived on time,Five Stars,"['love', 'arrive', 'time']"
5.0,Really nice eyeliner!,Five Stars,"['really', 'nice', 'eyeliner']"
5.0,It goes on very easily and makes my eyes look Bold and Beautiful,Five Stars,"['go', 'easily', 'make', 'eye', 'look', 'bold', 'beautiful']"
5.0,Letz talk about DRAMA!!,Five Stars,"['letz', 'talk', 'drama']"
5.0,"LOVE, LOVE, LOVE!! The movie was breathtaking and this book really shows you the behind-the-scenes work that was needed to make the gorgeous film. A must buy for any lover of the film or art in general.",Gorgeous!,"['love', 'love', 'love', 'movie', 'breathtake', 'book', 'really', 'show', 'behindthescene', 'work', 'need', 'make', 'gorgeous', 'film', 'must', 'buy', 'lover', 'film', 'art', 'general']"
5.0,Very good!,Five Stars,['good']
4.0,"Gorgeous insights on the making of this movie abound, though I must confess some disappointment at how little we see of two things: Story insights, and Aisling. I'm a little accustomed to getting a mix of art and emotion in my Art Of books, and this book feels like it focuses entirely on the art and leaves the story behind. I also would've liked to see more than one or two pages of Aisling illustrations.

That said, it's pretty much exactly how it's billed, and it's a really pretty (and really big) book that definitely showcases how gorgeous the movie was. If you want art, you get art.",Mesmerizing Illustrations,"['gorgeous', 'insight', 'make', 'movie', 'abound', 'though', 'must', 'confess', 'disappointment', 'little', 'see', 'two', 'thing', 'story', 'insight', 'aisle', 'little', 'accustomed', 'get', 'mix', 'art', 'emotion', 'art', 'book', 'book', 'feel', 'like', 'focus', 'entirely', 'art', 'leave', 'story', 'behind', 'also', 'would', 'like', 'see', 'one', 'two', 'page', 'aisle', 'illustration', 'say', 'pretty', 'much', 'exactly', 'bill', 'really', 'pretty', 'really', 'big', 'book', 'definitely', 'showcase', 'gorgeous', 'movie', 'want', 'art', 'get', 'art']"
5.0,"Beautifully written and produced.  Even if you haven't seen the movie, it is a lovely book to page through.  You can study the art in detail and it also shows how a diverse group of  artists' worked together to create something unique and memorable that came out of one person's vision.",Inspiring,"['beautifully', 'write', 'produce', 'even', 'nt', 'see', 'movie', 'lovely', 'book', 'page', 'study', 'art', 'detail', 'also', 'show', 'diverse', 'group', 'artist', 'work', 'together', 'create', 'something', 'unique', 'memorable', 'come', 'one', 'person', 'vision']"
5.0,"A beautiful book and a comprehensive one at that too! While some art books end up focusing on one aspect of it's respective movie, 'Desiging the Secret of Kells' explores not only how the creators painstakingly captured its beautiful art style, but also looks into character design, production process, story boarding and writing, and  much more. From the caption and footnotes in the book tells how much the creators are passionate about and love this masterpiece. Just flipping through this book was a joy. You have to read it to believe it. :>",A must have for any art fanatics,"['beautiful', 'book', 'comprehensive', 'one', 'art', 'book', 'end', 'focus', 'one', 'aspect', 'respective', 'movie', 'desige', 'secret', 'kells', 'explore', 'creator', 'painstakingly', 'capture', 'beautiful', 'art', 'style', 'also', 'look', 'character', 'design', 'production', 'process', 'story', 'boarding', 'writing', 'much', 'caption', 'footnote', 'book', 'tell', 'much', 'creator', 'passionate', 'love', 'masterpiece', 'flipping', 'book', 'joy', 'read', 'believe']"
5.0,"I have waited and waited for this book and I finally got it. Not only did I get it, it was also signed as well as a pencil sketch done by the Producer and Creator. As I write this I am attending the 2014 San Diego Comic Con. I was so stoked. Anyway, the book not just discusses the film but is very transparent in detailing the process. Even down to giving the color codes of the characters like their eye lash color. Very cool and detailed. If you get your hands on one get it. This will be one that the resale value will remain solid. That's if you'd want to give up this classic gem.",Waited so long.,"['wait', 'wait', 'book', 'finally', 'get', 'get', 'also', 'sign', 'well', 'pencil', 'sketch', 'do', 'producer', 'creator', 'write', 'attend', 'san', 'diego', 'comic', 'con', 'stoke', 'anyway', 'book', 'discusse', 'film', 'transparent', 'detail', 'process', 'even', 'give', 'color', 'code', 'character', 'like', 'eye', 'lash', 'color', 'cool', 'detail', 'get', 'hand', 'one', 'get', 'one', 'resale', 'value', 'remain', 'solid', 'want', 'give', 'classic', 'gem']"
5.0,"The product was cute and easy to use.  It arrived quickly and in perfect condition.  We used the wall decals on the window, wall and mirror.  Thank you",cute!,"['product', 'cute', 'easy', 'use', 'arrive', 'quickly', 'perfect', 'condition', 'use', 'wall', 'decal', 'window', 'wall', 'mirror', 'thank']"
5.0,"Fun had by all.  Game night just got better.  Bingo with a twist, can be played for fun or friendly wager.","Fun twist to the old favorite, Bingo.","['fun', 'game', 'night', 'get', 'well', 'bingo', 'twist', 'play', 'fun', 'friendly', 'wager']"
5.0,"You will love this card.  I'm going to use for Get Well, Birthdays... or Thank You's... or even to add on a gift.  I'll be ordering more for sure.  Very special cards everyone will like.",ADORABLE Cards!,"['love', 'card', 'go', 'use', 'get', 'well', 'birthday', 'thank', 'even', 'add', 'gift', 'order', 'sure', 'special', 'card', 'everyone', 'like']"
5.0,"Robert Sabuda's cards are always magical and this one could be a ""smile in an envelope"".  I send these as get well cards, and they never fail to get the most enthusiastic responses-- the last person I sent one to said, this is like getting a ""smile in an envelope"" -- Thanks for carrying these wonderful cards.  They will brighten any gloomy day and cheer up even the grumpiest patients!",Send a smile to someone you love!,"['robert', 'sabuda', 'card', 'always', 'magical', 'one', 'could', 'smile', 'envelope', 'send', 'get', 'well', 'card', 'never', 'fail', 'get', 'enthusiastic', 'response', 'last', 'person', 'send', 'one', 'say', 'like', 'get', 'smile', 'envelope', 'thanks', 'carry', 'wonderful', 'card', 'brighten', 'gloomy', 'day', 'cheer', 'even', 'grumpiest', 'patient']"
5.0,I thought the previous reviewers were exaggerating a bit about the size of this charm but they were not.  It is literally the size of my phone.  It is a very nice charm though and it looks nice hanging out of my front pocket.  The metal cloud charm somehow fell off and is lost forever but I still have the rubbery one on my phone and its a nice thing to hold your phone with so overall I'm happy with this purchase and Naruto fans comment on it all the time =],HUUUUGE!,"['think', 'previous', 'reviewers', 'exaggerate', 'bit', 'size', 'charm', 'literally', 'size', 'phone', 'nice', 'charm', 'though', 'look', 'nice', 'hang', 'front', 'pocket', 'metal', 'cloud', 'charm', 'somehow', 'fall', 'lose', 'forever', 'still', 'rubbery', 'one', 'phone', 'nice', 'thing', 'hold', 'phone', 'overall', 'happy', 'purchase', 'naruto', 'fan', 'comment', 'time']"
5.0,"Item was bought as a Christmas gift.  This is the fourth in the series that I have bought for the person.
She loves Thomas Kinkade.  Will probably buy the others in this series if still available next year.",Thomas Kinkade Angel of Glory Illuminated figurine,"['item', 'buy', 'christmas', 'gift', 'fourth', 'series', 'buy', 'person', 'love', 'thomas', 'kinkade', 'probably', 'buy', 'other', 'series', 'still', 'available', 'next', 'year']"
5.0,This works great! A must for your pets and yourself when enjoying nature. Ticks are especially bad this year where I live and it has proven to be a wonderful addition to my outdoor gear.,This is the perfect tick removal tool.,"['work', 'great', 'must', 'pet', 'enjoy', 'nature', 'tick', 'especially', 'bad', 'year', 'live', 'prove', 'wonderful', 'addition', 'outdoor', 'gear']"
5.0,"This Cell Phone Charm is way bigger than In the picture, which comes in handy when I'm walking around With my Cell Phone at Work.",Akatsuki Pride,"['cell', 'phone', 'charm', 'way', 'big', 'picture', 'come', 'handy', 'walk', 'around', 'cell', 'phone', 'work']"
5.0,"This product is great!! I nvr thought it would be as big as i thought but its just the right size for any type of phone.
Its material is good so as it design

I recommend getting 1 of these if ur a true naruto ship fan :D",Great product,"['product', 'great', 'nvr', 'think', 'would', 'big', 'think', 'right', 'size', 'type', 'phone', 'material', 'good', 'design', 'mend', 'get', 'ur', 'true', 'naruto', 'ship', 'fan']"
5.0,Wonderful stand for my brush and razor. Much better than just setting my razor and brush down on the bathroom sick. If you are thinking about getting it just do it. It is worth it.,Wonderful stand for my brush and razor,"['wonderful', 'stand', 'brush', 'razor', 'much', 'well', 'set', 'razor', 'brush', 'bathroom', 'sick', 'think', 'get', 'worth']"
5.0,I bought this for my boyfriend and he absolutely loved it thanks for a great product,Five Stars,"['buy', 'boyfriend', 'absolutely', 'love', 'thanks', 'great', 'product']"
5.0,"Looks nice,well made, hope to have it for many years.",Five Stars,"['look', 'nice', 'well', 'make', 'hope', 'many', 'year']"
5.0,It's classy as all get out.,Five Stars,"['classy', 'get']"
5.0,Nice stand.  Well polished.  Holds razor and brush very well,Five Stars,"['nice', 'stand', 'well', 'polished', 'hold', 'razor', 'brush', 'well']"
2.0,The brush side was too small for my brush. But I bent it just a little and it fits fine now.,But I bent it just a little and it fits fine now.,"['brush', 'side', 'small', 'brush', 'bent', 'little', 'fit', 'fine']"
4.0,"Solid construction, good fit and finish.  The razor side just fits my razor.",good fit and finish,"['solid', 'construction', 'good', 'fit', 'finish', 'razor', 'side', 'fit', 'razor']"
5.0,"Wonderful. Great price, solid built, esthetically appealing and mostly practical. Highly recommended!!!",Excellent,"['wonderful', 'great', 'price', 'solid', 'build', 'esthetically', 'appeal', 'mostly', 'practical', 'highly', 'mended']"
2.0,"Holder is wobbly and cannot be screwed unless you wish to remove the bottom padding that holds the razor/brush stand.

Look around for a better stand where you can easily tighten the screws when it loosens.",Very wobbly stand...,"['holder', 'wobbly', 'screw', 'unless', 'wish', 'remove', 'bottom', 'padding', 'hold', 'razorbrush', 'stand', 'look', 'around', 'well', 'stand', 'easily', 'tighten', 'screw', 'loosen']"
4.0,It keeps my razor and shaving brush off of the counter.  The stand weighs enough that it isn't easily toppled over or pushed around.,Ideal for home defense!,"['keep', 'razor', 'shaving', 'brush', 'counter', 'stand', 'weigh', 'enough', 'nt', 'easily', 'topple', 'push', 'around']"
5.0,"Very nice, would recommend that you purchase the perfecto shaving brush.  It fits perfect, my old brush did not",Quality,"['nice', 'would', 'mend', 'purchase', 'perfecto', 'shaving', 'brush', 'fit', 'perfect', 'old', 'brush']"
5.0,Solid base for both brush and razor.,Good value,"['solid', 'base', 'brush', 'razor']"
5.0,"Elegant design, well crafted and extremely functional.  It's beautiful enough to leave out on a bathroom vanity.  Very pleased.",It's beautiful enough to leave out on a bathroom vanity,"['elegant', 'design', 'well', 'craft', 'extremely', 'functional', 'beautiful', 'enough', 'leave', 'bathroom', 'vanity', 'pleased']"
2.0,Does not fit brush handle and razor slips easily off center.,Should be better for the price,"['fit', 'brush', 'handle', 'razor', 'slip', 'easily', 'center']"
4.0,Works great.,Four Stars,"['work', 'great']"
5.0,The grip is very nice.,Five Stars,"['grip', 'nice']"
5.0,Built well and nice finish. Only fits smaller handle brushes.,Sturdy stand worth having,"['build', 'well', 'nice', 'finish', 'fit', 'small', 'handle', 'brush']"
5.0,Great product. Well made and stable. Provides my brush a great place to dry properly. Stylish appearance as well.,Great product. Well made and stable,"['great', 'product', 'well', 'make', 'stable', 'provide', 'brush', 'great', 'place', 'dry', 'properly', 'stylish', 'appearance', 'well']"
5.0,Exactly as described.,Five Stars,"['exactly', 'describe']"
5.0,was a gift and loves it!,Five Stars,"['gift', 'love']"
5.0,"Very stable, good weight, doesnt slip or tip on a crowded sink. Does just what I wanted.","good weight, doesnt slip or tip on a crowded ...","['stable', 'good', 'weight', 'do', 'slip', 'tip', 'crowd', 'sink', 'want']"
5.0,Product is as described. It was sturdy right out of the box. My razor and brush fit perfectly on the stand. The finish looks really high end and matches my razor and brush set.,Great quality!,"['product', 'describe', 'sturdy', 'right', 'box', 'razor', 'brush', 'fit', 'perfectly', 'stand', 'finish', 'look', 'really', 'high', 'end', 'match', 'razor', 'brush', 'set']"
5.0,The stand is well made looks great. Highly recommend this product.,Five Stars,"['stand', 'well', 'make', 'look', 'great', 'highly', 'mend', 'product']"
5.0,"Ordered this stand and came in on time for two day shipping. Perfectly matches the razor that I have (Rockwell 6c White Chrome) and the Escali brush that I ordered also perfectly fits. Amazing stand, works perfectly.","Amazing stand, works perfectly","['order', 'stand', 'come', 'time', 'two', 'day', 'shipping', 'perfectly', 'match', 'razor', 'rockwell', 'c', 'white', 'chrome', 'escali', 'brush', 'order', 'also', 'perfectly', 'fit', 'amazing', 'stand', 'work', 'perfectly']"
5.0,"Simple and classy. Functional and small enough to fit on a very small counter like ours. My husband was happy and I am too. It shines well. Overall, good purchase.",Good purchase. Shines well. Sized as promised.,"['simple', 'classy', 'functional', 'small', 'enough', 'fit', 'small', 'counter', 'like', 'husband', 'happy', 'shine', 'well', 'overall', 'good', 'purchase']"
5.0,Very sturdy construction. Heavy on the base. It doesnt rock around on the counter top. Very well chromed . Seems like it should last a long time.,Great quality.,"['sturdy', 'construction', 'heavy', 'base', 'do', 'rock', 'around', 'counter', 'top', 'well', 'chromed', 'seem', 'like', 'last', 'long', 'time']"
5.0,Got my cuckoo clock running again.,Five Stars,"['get', 'cuckoo', 'clock', 'run']"
5.0,"So far, so good.  We'll see how it looks in a couple of years.",so good. We'll see how it looks in a couple ...,"['far', 'good', 'see', 'look', 'couple', 'year']"
5.0,Just what i wanted. P,Five Stars,"['want', 'p']"
5.0,"The stand is solid and really well-made, I think it suits all the common razors and brushes. It's a really useful thing, a good choice to organize your space in the bathroom.","It's a really useful thing, a good choice to organize your space ...","['stand', 'solid', 'really', 'wellmade', 'think', 'suit', 'common', 'razor', 'brush', 'really', 'useful', 'thing', 'good', 'choice', 'organize', 'space', 'bathroom']"
5.0,Nice quality,Five Stars,"['nice', 'quality']"
5.0,"There were other stands that were more expensive, but the polished look of this is super nice. Also, its very sturdy and holds everything, no problem.",Looks great does the job,"['stand', 'expensive', 'polished', 'look', 'super', 'nice', 'also', 'sturdy', 'hold', 'everything', 'problem']"
4.0,"It is sturdy and balanced well.  The bracket for the shaver doesn't as easily accommodate razors with wider handles (when I put my razor in, it turns instead of facing in).",It is sturdy and balanced well,"['sturdy', 'balance', 'well', 'bracket', 'shaver', 'nt', 'easily', 'modate', 'razor', 'wide', 'handle', 'put', 'razor', 'turn', 'instead', 'face']"
5.0,"Holds a Merkur 34C Long Handle Razor well.  Holds an Omega/Proraso Pro 48 at the comb (where bristles join handle) of the brush.  I prefer, however, a brush to be held far above the comb near the end of the brush handle.  (Most pictures of brush stands show them holding the brush at the comb, but I think that looks weird and top-heavy.  Call me weird, then.)  The arms are too narrow for the Omega.  I have a tool for opening / closing links of chain and I used it, but the result was a very wide V shape and I didn't want to put the somewhat fragile plastic handle in position while I used the tool to squeeze the V shape into more of a C shape.  So I put it back into its original shape.  Ill save as its a very good stand, and if I get a brush that will work the way I want to suspend the brush, I certainly will use this.
want to",Well made.  Solid Stand,"['hold', 'merkur', 'c', 'long', 'handle', 'razor', 'well', 'hold', 'omegaproraso', 'pro', 'comb', 'bristle', 'join', 'handle', 'brush', 'prefer', 'however', 'brush', 'hold', 'far', 'comb', 'near', 'end', 'brush', 'handle', 'picture', 'brush', 'stand', 'show', 'hold', 'brush', 'comb', 'think', 'look', 'weird', 'topheavy', 'call', 'weird', 'arm', 'narrow', 'omega', 'tool', 'opening', 'closing', 'link', 'chain', 'use', 'result', 'wide', 'v', 'shape', 'nt', 'want', 'put', 'somewhat', 'fragile', 'plastic', 'handle', 'position', 'use', 'tool', 'squeeze', 'v', 'shape', 'c', 'shape', 'put', 'back', 'original', 'shape', 'ill', 'save', 'good', 'stand', 'get', 'brush', 'work', 'way', 'want', 'suspend', 'brush', 'certainly', 'use', 'want']"
4.0,I like this because it did fit my razor and brush but it comes loose pretty quickly just use a screwdriver and you'll be golden. Does look nice on the bathroom counter.,I like this because it did fit my razor and brush ...,"['like', 'fit', 'razor', 'brush', 'come', 'loose', 'pretty', 'quickly', 'use', 'screwdriver', 'golden', 'look', 'nice', 'bathroom', 'counter']"
5.0,Very well made and has worked well for these past two years with no issues.,Awesome,"['well', 'make', 'work', 'well', 'past', 'two', 'year', 'issue']"
1.0,It rusts.,It rusts.,['rust']
5.0,"Good quality, I just wish the shaving brush we bought would have fit it.  But it's very nice and makes the bathroom look a lot less cluttered and cleaner.","Giid quality, heavier material.","['good', 'quality', 'wish', 'shaving', 'brush', 'buy', 'would', 'fit', 'nice', 'make', 'bathroom', 'look', 'lot', 'less', 'clutter', 'clean']"
5.0,"Great product, very stable and looks great.",Five Stars,"['great', 'product', 'stable', 'look', 'great']"
4.0,Looks and feels great.  NOTE: a bit small for my Semogue 2000 brush......  might be a good idea to buy this at the same time as the brush so you know they fit together.,Looks and feels great!,"['look', 'feel', 'great', 'note', 'bit', 'small', 'semogue', 'brush', 'may', 'good', 'idea', 'buy', 'time', 'brush', 'know', 'fit', 'together']"
4.0,Holds you stuff like it should,Four Stars,"['hold', 'stuff', 'like']"
5.0,Boyfriend loves!,Five Stars,"['boyfriend', 'love']"
5.0,"Great looks, and keeps the razor away from any germs. It gives the bathroom a classier look. I really like it.",Classy and clean.,"['great', 'look', 'keep', 'razor', 'away', 'germ', 'give', 'bathroom', 'classy', 'look', 'really', 'like']"
5.0,Nice stand. Very sturdy and balanced. Looks nice too.,Nice product,"['nice', 'stand', 'sturdy', 'balance', 'look', 'nice']"
5.0,thought it was going to be a big stand but was glad it was very small but not too small for it not to accommodate the razorock plissoft brush and my edwin jagger 89 razor and it fits nicely in a small medicine cabinet. the build quality is excellent. Not sure if its stainless steel but feels and look really solid and top class . only problem is it doesnt fit my brush handle but its not an issue as it fits below the brush handle. the base also has a type of velvet material in the bottom so i don't think it would be a good idea to leave it on your bathroom sink or where it can get wet.,great stand,"['think', 'go', 'big', 'stand', 'glad', 'small', 'small', 'modate', 'razorock', 'plissoft', 'brush', 'edwin', 'jagger', 'razor', 'fit', 'nicely', 'small', 'medicine', 'cabinet', 'build', 'quality', 'excellent', 'sure', 'stainless', 'steel', 'feel', 'look', 'really', 'solid', 'top', 'class', 'problem', 'do', 'fit', 'brush', 'handle', 'issue', 'fit', 'brush', 'handle', 'base', 'also', 'type', 'velvet', 'material', 'bottom', 'nt', 'think', 'would', 'good', 'idea', 'leave', 'bathroom', 'sink', 'get', 'wet']"
5.0,Bought this for my friend 2 years ago and still looks great.  No tarnishing at all. - Very Nice,He Loves it,"['buy', 'friend', 'year', 'ago', 'still', 'look', 'great', 'tarnish', 'nice']"
5.0,Very nice quality. Highly recommend.,Quality piece,"['nice', 'quality', 'highly', 'mend']"
5.0,Perfect.  As described!,Perfect.  As described!,"['perfect', 'describe']"
1.0,Bought it as a present...doesn't fit a standard Gillette razor,One Star,"['buy', 'present', 'nt', 'fit', 'standard', 'gillette', 'razor']"
5.0,Good weighted base. Holds my semogue boar bristle very well. As well as my merkur long handle razor,Great choice,"['good', 'weighted', 'base', 'hold', 'semogue', 'boar', 'bristle', 'well', 'well', 'merkur', 'long', 'handle', 'razor']"
5.0,"Very nice stand, especially for the price IF you only have one razor and one brush.

 If I was the mfg. I would make this ideal by adding two top additional attachments,  one would be a 4 piece holder for razors and the other would be a four piece holder for brushes.",Useful but could be better,"['nice', 'stand', 'especially', 'price', 'one', 'razor', 'one', 'brush', 'mfg', 'would', 'make', 'ideal', 'add', 'two', 'top', 'additional', 'attachment', 'one', 'would', 'piece', 'holder', 'razor', 'would', 'four', 'piece', 'holder', 'brush']"
5.0,Classy product.  Works as described.  Has organized and polished the look of a corner of my bath.,Classy product. Works as described. Has organized and ...,"['classy', 'product', 'work', 'describe', 'organize', 'polished', 'look', 'corner', 'bath']"
5.0,A good purchase. It is well worth the price. Looks good on my sink,Five Stars,"['good', 'purchase', 'well', 'worth', 'price', 'look', 'good', 'sink']"
5.0,Very sturdy and holds my Vikings products.,Perfect!,"['sturdy', 'hold', 'viking', 'product']"
4.0,These are pretty and solid.  I was slightly disappointed that they weren't the same and of the same quality as the ones I got from Reed and Barton for my wedding 28 years ago... but they also are much less expensive.  A solid buy for the price.,These are pretty and solid,"['pretty', 'solid', 'slightly', 'disappointed', 'nt', 'quality', 'one', 'get', 'reed', 'barton', 'wedding', 'year', 'ago', 'also', 'much', 'less', 'expensive', 'solid', 'buy', 'price']"
5.0,Just as described. Seems to be good quality. Has some weight to it. Shipping was very fast.,Seems to be good quality. Has some weight to it,"['describe', 'seem', 'good', 'quality', 'weight', 'shipping', 'fast']"
4.0,"I may put a larger base on this, it's a little tippy. I use it all the time and like it though.",I use it all the time and like it though,"['may', 'put', 'large', 'base', 'little', 'tippy', 'use', 'time', 'like', 'though']"
